species,longitude,latitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
pabulinus,0.987795,52.487401,96,69,33,4851,207,0,207,71,60,158,35,603,59,37,12,170,127,157,146
pabulinus,-3.055116,53.558657,92,68,35,4483,195,6,189,98,57,151,36,819,88,48,21,258,151,204,197
pabulinus,-1.456744,53.363916,94,72,36,4552,204,8,196,47,57,154,38,766,75,55,10,217,174,186,201
pabulinus,-1.648856,53.821244,92,72,37,4517,201,7,194,46,56,152,37,776,75,55,12,222,172,186,202
pabulinus,-1.026848,54.159247,90,72,37,4400,196,4,192,44,55,147,35,669,65,45,11,185,145,170,167
pabulinus,-0.323097,53.782668,96,70,35,4550,204,8,196,49,60,154,39,675,67,46,12,193,146,171,172
pabulinus,-1.722799,54.938032,84,72,38,4254,187,1,186,121,50,139,31,667,73,44,15,192,138,176,159
pabulinus,-3.050862,54.839475,85,72,36,4541,193,-3,196,89,51,145,28,874,91,49,21,271,161,221,213
pabulinus,-2.894046,55.890119,78,74,37,4426,188,-11,199,112,44,137,23,763,76,46,15,219,155,195,182
pabulinus,-4.098478,55.867888,82,71,37,4279,185,-2,187,59,101,139,30,1157,125,62,24,371,200,239,330
pabulinus,-2.306747,57.45617,80,69,38,3999,179,-1,180,61,94,133,32,805,82,52,16,238,162,196,209
pabulinus,-5.927424,54.557061,87,67,38,3958,184,10,174,92,75,139,40,1002,99,65,17,294,200,246,262
pabulinus,-6.520097,53.168293,86,73,41,3811,186,9,177,48,98,136,41,948,107,60,18,288,196,206,270
pabulinus,-9.162392,53.370352,98,68,41,3583,186,21,165,80,109,144,54,1093,124,60,23,352,198,239,311
pabulinus,32.693335,55.045753,49,80,23,9302,225,-116,341,166,-65,166,-71,638,90,28,33,236,98,236,112
pabulinus,34.444103,61.610472,20,77,21,9427,205,-153,358,127,-93,142,-102,612,89,23,36,227,88,216,98
pabulinus,50.013157,58.543232,26,74,18,11221,232,-173,405,168,-43,168,-122,625,86,25,34,219,89,219,107
pabulinus,128.113419,37.812801,93,117,29,10076,276,-121,397,211,-44,217,-44,1302,313,25,86,748,85,731,85
pabulinus,128.985565,37.164065,66,98,27,9132,232,-119,351,175,-56,179,-56,1541,313,41,68,789,146,767,146
pabulinus,38.178469,56.092389,43,79,21,9977,231,-131,362,169,-74,169,-87,655,91,30,31,236,101,236,121
pabulinus,37.289719,55.831806,49,77,21,9782,231,-123,354,172,-67,172,-79,670,88,32,31,243,107,243,126
pabulinus,17.372018,48.847943,87,93,31,7284,245,-52,297,178,4,178,-10,661,91,33,36,258,102,258,109
pabulinus,18.022178,49.089695,73,91,31,7177,227,-66,293,162,-10,162,-23,781,110,39,36,300,121,300,132
pabulinus,108.237778,54.014444,-47,120,23,13548,202,-304,506,122,-209,122,-229,408,88,8,72,213,29,213,47
pabulinus,18.928256,49.690078,60,86,29,7330,211,-84,295,149,-28,149,-40,995,144,51,38,390,155,390,169
pabulinus,17.259405,46.906084,98,94,30,7520,259,-47,306,191,13,191,-3,658,81,34,28,226,109,226,120
